sample-id	alias	compartment	env_biome	plant_id	cultivar	collection_date	geo_loc_name
SRR1524624	FieldRun1	Rhizoplane	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524625	GHRun1	Rhizosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524626	GHRun1	Rhizoplane	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524627	FieldRun1	Endosphere	Rice Paddy	1		2013-07-08	USA: California, Central Valley
SRR1524628	FieldRun1	Rhizosphere	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524629	GHRun1	Endosphere	Greenhouse Soil		Glab_B	2013-05-06	USA: Sacramento, California
SRR1524630	FieldRun1	Rhizoplane	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524631	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524632	FieldRun1	Endosphere	Rice Paddy	2		2013-07-08	USA: California, Central Valley
SRR1524633	GHRun1	Rhizosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Sacramento, California
SRR1524634	FieldRun1	Rhizosphere	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524635	GHRun1	Endosphere	Greenhouse Soil		Nipponebare	2013-05-06	USA: Sacramento, California
SRR1524636	FieldRun1	Rhizoplane	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524637	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524638	FieldRun1	Endosphere	Rice Paddy	3		2013-07-08	USA: California, Central Valley
SRR1524639	GHRun1	Rhizosphere	Greenhouse Soil		M104	2013-05-06	USA: Sacramento, California
SRR1524640	FieldRun1	Rhizosphere	Rice Paddy	4		2013-07-08	USA: California, Central Valley
SRR1524641	GHRun1	Rhizoplane	Greenhouse Soil		M104	2013-05-06	USA: Sacramento, California
SRR1524642	FieldRun1	Endosphere	Rice Paddy	4		2013-07-08	USA: California, Central Valley
SRR1524643	GHRun1	Endosphere	Greenhouse Soil		M104	2013-05-06	USA: Sacramento, California
SRR1524644	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524645	FieldRun1	Rhizosphere	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524646	GHRun1	Rhizosphere	Greenhouse Soil		IR50	2013-05-06	USA: Sacramento, California
SRR1524647	FieldRun1	Rhizoplane	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524648	GHRun1	Rhizoplane	Greenhouse Soil		IR50	2013-05-06	USA: Sacramento, California
SRR1524649	FieldRun1	Endosphere	Rice Paddy	5		2013-07-08	USA: California, Central Valley
SRR1524650	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524651	FieldRun1	Rhizosphere	Rice Paddy	6		2013-07-08	USA: California, Central Valley
SRR1524652	GHRun1	Rhizosphere	Greenhouse Soil		93-11	2013-05-06	USA: Sacramento, California
SRR1524653	FieldRun1	Rhizoplane	Rice Paddy	6		2013-07-08	USA: California, Central Valley
SRR1524654	GHRun1	Rhizoplane	Greenhouse Soil		93-11	2013-05-06	USA: Sacramento, California
SRR1524655	GHRun1	Endosphere	Greenhouse Soil		93-11	2013-05-06	USA: Sacramento, California
SRR1524656	GHRun1	Rhizosphere	Greenhouse Soil		Glab_E	2013-05-06	USA: Sacramento, California
SRR1524657	FieldRun1	Endosphere	Rice Paddy	6		2013-07-08	USA: California, Central Valley
SRR1524658	GHRun1	Rhizoplane	Greenhouse Soil		Glab_E	2013-05-06	USA: Sacramento, California
SRR1524659	FieldRun1	Rhizosphere	Rice Paddy	7		2013-07-08	USA: California, Central Valley
SRR1524660	GHRun1	Bulk Soil	Greenhouse Soil		Soil	2013-05-06	USA: Sacramento, California
SRR1524661	FieldRun1	Rhizoplane	Rice Paddy	7		2013-07-08	USA: California, Central Valley
