sample-id	alias	compartment	env_biome	plant_id	cultivar	collection_date	geo_loc_name
SRR2107428	JE.TC.10	Rhizosphere	Greenhouse Soil	1	M104	2013-11-03	USA: Davis, California
SRR2107429	JE.TC.11	Rhizosphere	Greenhouse Soil	2	M104	2013-11-03	USA: Davis, California
SRR2107430	JE.TC.12	Rhizosphere	Greenhouse Soil	3	M104	2013-11-03	USA: Davis, California
SRR2107431	JE.TC.13	Rhizoplane	Greenhouse Soil	1	M104	2013-11-03	USA: Davis, California
SRR2107432	JE.TC.14	Rhizoplane	Greenhouse Soil	2	M104	2013-11-03	USA: Davis, California
SRR2107433	JE.TC.15	Rhizoplane	Greenhouse Soil	3	M104	2013-11-03	USA: Davis, California
SRR2107434	JE.TC.16	Endosphere	Greenhouse Soil	1	M104	2013-11-03	USA: Davis, California
SRR2107435	JE.TC.17	Endosphere	Greenhouse Soil	2	M104	2013-11-03	USA: Davis, California
SRR2107436	JE.TC.18	Endosphere	Greenhouse Soil	3	M104	2013-11-03	USA: Davis, California
SRR2107437	JE.TC.19	Bulk Soil	Greenhouse Soil	1	M104	2013-11-03	USA: Davis, California
