sample-id	alias	batch	time_point	env_biome	env_feature	env_material	geo_loc_name
SRR1930827	A31-39	A31	39	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930825	A31-10	A31	10	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930824	A31-PS	A31	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930823	A22-DR	A22	DR	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930821	A22-18	A22	18	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930820	A22-10	A22	10	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930819	A22-PS	A22	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930822	A22-39	A22	39	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930818	A21-DR	A21	DR	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930817	A21-39	A21	39	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930816	A21-18	A21	18	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930815	A21-10	A21	10	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930814	A21-PS	A21	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930813	A12-DR	A12	DR	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930812	A12-39	A12	39	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930811	A12-18	A12	18	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930809	A12-PS	A12	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930810	A12-10	A12	10	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930808	A11-DR	A11	DR	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930806	A11-18	A11	18	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930805	A11-10	A11	10	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930807	A11-39	A11	39	anthropogenic environmental material	fermentation	fermentation mash	USA
SRR1930804	A11-PS	A11	PS	anthropogenic environmental material	fermentation	fermentation mash	USA
