sample-id,depth-10000_iter-1,depth-10000_iter-2,depth-10000_iter-3,depth-10000_iter-4,depth-10000_iter-5,depth-10000_iter-6,depth-10000_iter-7,depth-10000_iter-8,depth-10000_iter-9,depth-10000_iter-10,depth-16428_iter-1,depth-16428_iter-2,depth-16428_iter-3,depth-16428_iter-4,depth-16428_iter-5,depth-16428_iter-6,depth-16428_iter-7,depth-16428_iter-8,depth-16428_iter-9,depth-16428_iter-10,depth-22857_iter-1,depth-22857_iter-2,depth-22857_iter-3,depth-22857_iter-4,depth-22857_iter-5,depth-22857_iter-6,depth-22857_iter-7,depth-22857_iter-8,depth-22857_iter-9,depth-22857_iter-10,depth-29285_iter-1,depth-29285_iter-2,depth-29285_iter-3,depth-29285_iter-4,depth-29285_iter-5,depth-29285_iter-6,depth-29285_iter-7,depth-29285_iter-8,depth-29285_iter-9,depth-29285_iter-10,depth-35714_iter-1,depth-35714_iter-2,depth-35714_iter-3,depth-35714_iter-4,depth-35714_iter-5,depth-35714_iter-6,depth-35714_iter-7,depth-35714_iter-8,depth-35714_iter-9,depth-35714_iter-10,depth-42142_iter-1,depth-42142_iter-2,depth-42142_iter-3,depth-42142_iter-4,depth-42142_iter-5,depth-42142_iter-6,depth-42142_iter-7,depth-42142_iter-8,depth-42142_iter-9,depth-42142_iter-10,depth-48571_iter-1,depth-48571_iter-2,depth-48571_iter-3,depth-48571_iter-4,depth-48571_iter-5,depth-48571_iter-6,depth-48571_iter-7,depth-48571_iter-8,depth-48571_iter-9,depth-48571_iter-10,depth-55000_iter-1,depth-55000_iter-2,depth-55000_iter-3,depth-55000_iter-4,depth-55000_iter-5,depth-55000_iter-6,depth-55000_iter-7,depth-55000_iter-8,depth-55000_iter-9,depth-55000_iter-10,depth-61428_iter-1,depth-61428_iter-2,depth-61428_iter-3,depth-61428_iter-4,depth-61428_iter-5,depth-61428_iter-6,depth-61428_iter-7,depth-61428_iter-8,depth-61428_iter-9,depth-61428_iter-10,depth-67857_iter-1,depth-67857_iter-2,depth-67857_iter-3,depth-67857_iter-4,depth-67857_iter-5,depth-67857_iter-6,depth-67857_iter-7,depth-67857_iter-8,depth-67857_iter-9,depth-67857_iter-10,depth-74285_iter-1,depth-74285_iter-2,depth-74285_iter-3,depth-74285_iter-4,depth-74285_iter-5,depth-74285_iter-6,depth-74285_iter-7,depth-74285_iter-8,depth-74285_iter-9,depth-74285_iter-10,depth-80714_iter-1,depth-80714_iter-2,depth-80714_iter-3,depth-80714_iter-4,depth-80714_iter-5,depth-80714_iter-6,depth-80714_iter-7,depth-80714_iter-8,depth-80714_iter-9,depth-80714_iter-10,depth-87142_iter-1,depth-87142_iter-2,depth-87142_iter-3,depth-87142_iter-4,depth-87142_iter-5,depth-87142_iter-6,depth-87142_iter-7,depth-87142_iter-8,depth-87142_iter-9,depth-87142_iter-10,depth-93571_iter-1,depth-93571_iter-2,depth-93571_iter-3,depth-93571_iter-4,depth-93571_iter-5,depth-93571_iter-6,depth-93571_iter-7,depth-93571_iter-8,depth-93571_iter-9,depth-93571_iter-10,depth-100000_iter-1,depth-100000_iter-2,depth-100000_iter-3,depth-100000_iter-4,depth-100000_iter-5,depth-100000_iter-6,depth-100000_iter-7,depth-100000_iter-8,depth-100000_iter-9,depth-100000_iter-10,alias,batch,time_point,env_biome,env_feature,env_material,geo_loc_name
SRR1930804,1.7382815483965186,1.7841056279833014,1.7534131309398375,1.7801878008115772,1.7733001857679809,1.7719655403616548,1.7906106384495346,1.7836301708180968,1.7876616350078145,1.7710747907966748,1.7755157165843525,1.753384972545364,1.762658706537032,1.7764871559910804,1.7664162859595145,1.74911265649667,1.7494255614313357,1.757747079008107,1.7669752037811284,1.769415307106619,1.7926397367210667,1.7694678466620888,1.76492105312988,1.7703059623567552,1.780187350446481,1.7748197818073854,1.7618355272307566,1.7581574696821785,1.7599128115781553,1.768082083333736,1.7630622201382131,1.7845720821719817,1.7621873016542626,1.7822457697930103,1.7672947227992983,1.7790002872334971,1.7784125663846435,1.7739873078079729,1.7763509518187643,1.7769510190855082,1.7750683777558545,1.7659311632944024,1.7737086085979623,1.767034352823082,1.7709705425523912,1.7808521380758202,1.7756738305078643,1.7708716532416628,1.763211980893747,1.769726424492112,1.777025161233085,1.777782672199969,1.782631279708299,1.757676093307673,1.7675421897968984,1.7755312660889946,1.7743188776908063,1.771017354886626,1.7771634709302615,1.769824135852568,1.7706243576112015,1.7749108326996312,1.7755174844358597,1.765984191336929,1.778154972029978,1.7792801167811103,1.7685564380200882,1.775018584417149,1.7743522268895764,1.7704651309047597,1.774646436215269,1.764748446207312,1.7803016923512656,1.7657498448790567,1.778407039736001,1.7705428933487264,1.7737559215522996,1.7698866918990792,1.775267423939671,1.7737812482180877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A11-PS,A11,PS,anthropogenic environmental material,fermentation,fermentation mash,USA
SRR1930805,2.283882919444439,2.3193892038515567,2.2654322262097333,2.2740942220576943,2.279860978850893,2.2834084153341467,2.273217938790633,2.256612493398821,2.260198092194362,2.2793521943376884,2.2956023990587946,2.2964198959667543,2.2980114387912867,2.295680410172694,2.291110589907728,2.2804726645026068,2.2868286673056195,2.2840757049460145,2.2886194670070488,2.277952198911961,2.292174666643764,2.2936892379393816,2.293219199413662,2.292960619414332,2.29625903308603,2.2882771743467063,2.2747980438538646,2.2849729683792246,2.2861068504922533,2.3013380022323657,2.301229250369089,2.2915727828068597,2.2888622285091347,2.279074966614046,2.2956908250554062,2.287019238367014,2.2936983381174407,2.291281778551727,2.282673132695167,2.290554679369767,2.27491353888294,2.2900947045099587,2.2885063829907315,2.29153328567205,2.286920558709705,2.2815021661655925,2.283888951808489,2.299228548889407,2.2880869735798046,2.303714892181416,2.2987929750472995,2.297744600366846,2.2860487296595102,2.2765204121381672,2.285455075889909,2.2891470507033485,2.289033696907783,2.291629939559532,2.296272997082488,2.293351369060019,2.29065380790524,2.2832531468687165,2.2916415597853685,2.287810479868551,2.2960958287113464,2.287881696843524,2.288068670112569,2.2901393095588256,2.293986118209578,2.2878923104360536,2.2956189876162374,2.289885810981977,2.284774616426109,2.2975913519462896,2.2929526717505047,2.288210978827874,2.291160539479645,2.2815609823310097,2.285575773094653,2.2822106260259707,2.282251227814479,2.2939448194892598,2.2884867970879004,2.295783862299944,2.285520838392386,2.294661479574913,2.280767220471909,2.288206983250494,2.286739539374191,2.298279702554943,2.298508438415341,2.287647375302347,2.287471531395899,2.288058064404523,2.2868232554718797,2.2946912456395765,2.289067884673168,2.294699508721135,2.298069890868017,2.2937008211070333,2.294026948451654,2.2863392295266,2.296975284467841,2.2914039001019537,2.293665721810976,2.290907119729099,2.2868891407690017,2.2904922637910627,2.2893379950001607,2.286770509228266,2.293054254458639,2.290068330725912,2.2866822799366204,2.296961385006839,2.2800309242295325,2.2921596674439666,2.288170161874468,2.291896133624744,2.2867785365059654,2.28727733038658,2.2868612267752164,2.2846410323187243,2.29111261519526,2.2930968565386767,2.286745220243528,2.2896988286479942,2.2911116704324845,2.291023246013296,2.2866307111188107,2.2889436449517704,2.2913422609273093,2.293322563067097,2.2913892186471774,2.2903400175054545,2.2887734843884577,2.2881037312137664,2.292486823282698,2.2889374314677675,2.290367335815682,2.2890635853837167,2.291063862526047,2.2911176807610403,2.2878763965948496,2.289697996315342,2.2900925401553365,2.2885349387260394,2.288655935290502,2.288087397971761,2.292156715456168,2.2912583097336454,A11-10,A11,10,anthropogenic environmental material,fermentation,fermentation mash,USA
SRR1930806,1.5041997049649516,1.4788438747131063,1.4936263682754736,1.4828120347942793,1.5211621116888774,1.4677691784624975,1.5059003909372384,1.4809554839790748,1.4866498143552132,1.5113879662166552,1.5132080675264965,1.4810673131874912,1.5099693252613786,1.5176740987176915,1.5008606661142232,1.4928484886465547,1.4909317819128605,1.5189152292458166,1.4898145554118671,1.4898473427638343,1.5033732875500667,1.5087672774836542,1.5014438081912882,1.5132737040704378,1.470259624645905,1.4917290374642065,1.517978993846692,1.48954746398273,1.488894339566091,1.4948132127511802,1.4851869063302607,1.509332490910786,1.5051391408027364,1.5025940805308862,1.523437813953393,1.48359272920287,1.4891839426304891,1.4882109712268252,1.4974291612935655,1.5157954171567,1.4954634807885352,1.491224230352936,1.4969398494973245,1.498220614665704,1.495944981448308,1.5055067230561423,1.499879523715173,1.5099882984099449,1.5107212465043978,1.505825878842989,1.4825615961150762,1.5138839046084442,1.5006244830399127,1.5094845995766624,1.519052486514763,1.5004744984649072,1.5065945288188989,1.5094209960505365,1.5093844351563075,1.4941134372790683,1.5134013674133966,1.4894520194057297,1.510611659092284,1.5053984551967663,1.516300120951492,1.5084304491726577,1.5046819403277338,1.4940840493462144,1.4996509918581793,1.501050056369796,1.5099813345013025,1.5036922101457713,1.5008868513247713,1.5099492533963892,1.5126757993509834,1.4916649265740258,1.4996025348247397,1.51493626617256,1.4904934106957834,1.4899745387342969,1.5030521473681695,1.5057262038128956,1.503912836261869,1.5052285222834711,1.5104756141891444,1.494881385466028,1.5019484586409837,1.507509729530705,1.5021686583165272,1.5032903533470068,1.5080744050463986,1.5050701999337202,1.5056566303479146,1.4983475600579632,1.5089682352831522,1.4996751990073176,1.5004528791375789,1.5133323736059356,1.5046228690473245,1.4962466413333044,1.4999134253037998,1.510559472883733,1.5024740861347388,1.5014869376017392,1.5065304457093802,1.5143582908176392,1.5035123359285336,1.4920034625232357,1.5042196116984,1.5037712475816616,1.4972865557754285,1.508723320551974,1.5051003300485752,1.4993704514172057,1.5098794078830269,1.5093981496482318,1.4970583684441323,1.507792729092758,1.5043039793421829,1.5005816416103537,1.496602782460014,1.5066647860018816,1.494486999116292,1.4984979964659395,1.4976989891162271,1.5010903482783335,1.5057052728574418,1.5027549130718465,1.5038508421503451,1.5035558703292833,1.5049194910680006,1.4946604575540472,1.5011389050359585,1.5045236577865224,1.5000264721684533,1.5098654325247127,1.505209850651949,1.4946912618012065,1.5047841878910269,1.5023147974873816,1.508034300595642,1.5074135178104435,1.5073889829483644,1.503463631679993,1.5009459082881744,1.5033809660666615,1.5058054586482092,1.5124766479933127,1.4949876776392192,1.509730039432901,A11-18,A11,18,anthropogenic environmental material,fermentation,fermentation mash,USA
SRR1930807,2.17893095728271,2.186961996520392,2.2148853712912904,2.2091114374275262,2.1877958626026794,2.197160096071775,2.222659047278912,2.2240568630517026,2.1988855325275125,2.230229759235281,2.197533369585934,2.2254135988264605,2.1963739768310715,2.197591641167903,2.196726376287439,2.199772128817698,2.2193495541089243,2.189641640371003,2.186024656403608,2.238000680888032,2.1794171951817765,2.2024262141972075,2.2014209376795644,2.198684596665415,2.20520857122563,2.1985621018364347,2.210018062121118,2.2109209619888213,2.1977463871838707,2.18935167188659,2.196080844714956,2.1973204778649107,2.206322927018285,2.203014050788814,2.2057784605481965,2.187452436668677,2.2078515859818264,2.1983215770039126,2.18763059128096,2.223527265084271,2.194314793071221,2.207555739810274,2.185792000415492,2.196640961440724,2.216740634086709,2.2074963525206224,2.203175703504068,2.197844158023678,2.2000130549854484,2.1931787408993557,2.2099017482554864,2.198094017429614,2.2098382001506294,2.2109848322514907,2.210313645919016,2.216392178148941,2.204014425170932,2.2019579297611327,2.2022350651382387,2.204654055706041,2.206198066390037,2.2019852575091985,2.202444589182799,2.209256454918447,2.212161235937854,2.21555203194568,2.2082305666635884,2.204675493534776,2.2036447857739105,2.2099103686552546,2.210185439960231,2.210561088082952,2.210938798597715,2.200877514133268,2.203912718983251,2.2062563632217422,2.2015923956358217,2.209872755946048,2.2026504677581578,2.2130754835402944,2.2138805067932537,2.207955947271357,2.1993397745652965,2.2061085220126,2.206041186060036,2.213382979516268,2.21461922713722,2.2074186661176074,2.204715145893418,2.201942461893992,2.2044516538847296,2.2107746742536,2.2001468238507984,2.2111318864989515,2.20589541793499,2.202026369060484,2.207759628409357,2.207622920088659,2.2090125726050505,2.2075540716081523,2.209365404969869,2.2087528865756307,2.2086768362806484,2.208898996339632,2.205825466620079,2.209270416466422,2.2069111863141715,2.203367682761219,2.206451625383875,2.204315233047353,2.2103232818310774,2.209052499912687,2.204299570189269,2.2056960361298543,2.2048450349708104,2.2053578093241333,2.206869574023906,2.2057489894517723,2.2072384106990666,2.203840825258293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A11-39,A11,39,anthropogenic environmental material,fermentation,fermentation mash,USA
SRR1930808,2.2390309647234306,2.219732657046577,2.2487507950251144,2.242200123179962,2.2135107171698367,2.2272323482225738,2.247259038881852,2.225482014756984,2.253400874450417,2.2853703164915946,2.249031705815282,2.2427022897767754,2.251044351739226,2.248602502950912,2.2499462969853625,2.258847563716803,2.256546091180158,2.2316911320875894,2.2343190235931614,2.2631759065259964,2.2375790006406477,2.2538640316658367,2.263274920312839,2.234605842551556,2.263882476383737,2.252089664989143,2.239492795891945,2.2562061288526376,2.2441157219583503,2.258327472609668,2.263086591276282,2.2482268786013098,2.247231650905088,2.2537046771230287,2.2750845797079813,2.2660897084661187,2.258241899008589,2.2493379596542797,2.257864307328099,2.242747875123337,2.2578376821809107,2.2676715891012926,2.2405310059796943,2.245790689752376,2.245151283743004,2.262309363380331,2.255497077238774,2.250331430554561,2.249080126541583,2.250647621682865,2.254828066193268,2.2634797487020077,2.23796346773168,2.2621837018847826,2.252525769271852,2.257659664052408,2.2508672928728006,2.257728773621485,2.2592098684997355,2.2475388289605864,2.2539928703972327,2.25835616253446,2.2528899340403328,2.245573749245873,2.2569656439130537,2.251497722112923,2.2536051234288763,2.2551367564971674,2.2534278664105045,2.246155981976352,2.251698611131592,2.2511915906666045,2.2516789567145428,2.257335928702615,2.2490914231853414,2.2684231147899,2.2498760859626983,2.2528044182780764,2.254051832284947,2.2490243518064887,2.2567134529386124,2.259382072970948,2.254543170741629,2.254390306636731,2.258455044868071,2.2559223467645517,2.252882269071352,2.254732699089272,2.2588934958630755,2.2529753330742173,2.2540258078610984,2.2492290213237185,2.2651576791220527,2.2545107765684813,2.255734721725551,2.249637658215974,2.250579845796332,2.2571887022118786,2.253995681375756,2.2593055052082955,2.2590468786006865,2.256969814807309,2.256147618439207,2.253297955970229,2.258598177244994,2.260449112190798,2.256895474926855,2.257524422940356,2.256281426139985,2.257443696970973,2.256782820140513,2.25796828679464,2.256410251709091,2.256102708380019,2.2562347775253357,2.253469756722051,2.2557136208647908,2.2532360451353264,2.254818942940298,2.256943103993634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A11-DR,A11,DR,anthropogenic environmental material,fermentation,fermentation mash,USA
SRR1930809,1.867160680778156,1.8046201916521187,1.7926923449418877,1.8395246549159487,1.8499726653392905,1.8347992759078935,1.8483820389531564,1.8363150475964944,1.8481540322768777,1.7971603100245477,1.828492758495403,1.844565837601288,1.8361220319078528,1.867564611638636,1.8356705571804903,1.8035787814720103,1.8107801095000016,1.831455037350637,1.8078042479216612,1.83366192347144,1.832580126182717,1.8171491922911696,1.860215084745608,1.8472596857724508,1.827071820790132,1.8417317805079223,1.8607801573061955,1.8595631503596108,1.8505557825944197,1.8710650267272104,1.849550447598788,1.8489536476746653,1.8489316208482165,1.857539386088086,1.8654867736448295,1.8346393897285544,1.8539645961322877,1.834979514373092,1.853578219874552,1.8483518320064636,1.8349457776957407,1.855711873048356,1.8556405508149116,1.8481545058689623,1.8511047530471507,1.8410803948832872,1.834681819774072,1.854483859047735,1.856444372430236,1.850510502189824,1.839770637089732,1.838408772114792,1.8184096188023915,1.851089947256613,1.8353895841662975,1.8461590033763573,1.8557584211482765,1.8477197755293315,1.8485143249375853,1.83515128208028,1.8548243942612648,1.8328458924241595,1.8402200984326975,1.8452630875733471,1.8375304531011831,1.8501777358008755,1.8550750131529148,1.8486592216205124,1.834646821284084,1.8511747461435468,1.8498909533787216,1.855345899447529,1.853160918163057,1.850920347258899,1.846459887321894,1.8597821821757887,1.8393586304789724,1.854532241848312,1.851542616337978,1.844631753475057,1.8517993767380356,1.8583166914819127,1.8501435525811656,1.8598457372700945,1.8440428906844524,1.8506192313354248,1.8474297924147696,1.8571876184696352,1.8460073628534464,1.847994205619544,1.840974927913657,1.860330792510425,1.854764036088595,1.8460735373656325,1.8460187886146424,1.8493794354092945,1.8600603369229736,1.844380675558654,1.8463509012724144,1.8497937606132908,1.8459914401644448,1.8608623106737212,1.859400661144592,1.8569438738390784,1.8534559733332487,1.8548877243715016,1.8529213077220208,1.8475756658400104,1.8551269304319404,1.8467755637689396,1.853152986172562,1.8475925622555531,1.8471250011826168,1.85121646083799,1.8529792728345376,1.8510210656142008,1.8552839031837205,1.8608218190607773,1.84971011184516,1.8482713796931816,1.855867708621389,1.8535102285909515,1.854174155329116,1.8461851093900452,1.8529369722588973,1.8478693690438,1.8518382655440584,1.8571086858506007,1.8505117438205565,1.8540493639998,1.849044889782288,1.854656671216039,1.850433710605928,1.8548535903237997,1.851056419213359,1.849537010443553,1.8562343656934128,1.8527201160017748,1.8543874916025855,1.85236353515865,1.850714509181553,1.8509893243819215,1.8549932942846008,1.8554559368501664,1.8575103818738543,1.8526573771875696,1.8514875354611304,1.8517903719132147,1.8493515302859125,1.8509982901677675,A12-PS,A12,PS,anthropogenic environmental material,fermentation,fermentation mash,USA
SRR1930810,1.942725993693624,1.913763713027629,1.9213338346885425,1.9220160447174688,1.9364317355670155,1.9434400542544663,1.9177171076851736,1.927252253963175,1.919591217700225,1.929102384764624,1.9280689676878653,1.930324034776333,1.937092478683062,1.9280828563863557,1.9334693331677928,1.9277813922868456,1.925287496257449,1.9350320584500484,1.9422100821740704,1.9255859545767269,1.933408183623344,1.9206069399233576,1.9403630770617064,1.938199329874243,1.924651755557573,1.933717255069498,1.9485834576700996,1.9455474241154995,1.94205538685281,1.926454002962092,1.9288437132988776,1.931054980776589,1.9308555678265655,1.9358255666746549,1.9283569867879904,1.9317565926992637,1.9338790692785328,1.917356807686837,1.9197434392387287,1.9419775192433697,1.9192562711948329,1.927801836969968,1.9399082169658464,1.922201662746284,1.9254798220601,1.9369730590465943,1.9288329661269277,1.9327152509803327,1.941228855222087,1.9280060648156632,1.929550433637309,1.9374528755529792,1.9283674260654309,1.9415733842189065,1.938778501655888,1.9318427644952456,1.9236296280454528,1.9347537223800464,1.9418674272230387,1.934039589715561,1.930915053398456,1.9340981562847104,1.92815858242046,1.9324541334106664,1.9337019737602192,1.9315688624686136,1.9310885048281785,1.9342630806501488,1.933421487137827,1.931019843340227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A12-10,A12,10,anthropogenic environmental material,fermentation,fermentation mash,USA
SRR1930811,2.195158773329654,2.161079001705515,2.193886590674728,2.1425490233078897,2.179154691078669,2.2026077665374606,2.176080092670885,2.1601799424071118,2.2517596428501774,2.1324458206912187,2.164855209310363,2.162568788173042,2.1972865735275344,2.2123701136858744,2.1569373489884587,2.206956802652751,2.1845653597070385,2.2033496820320733,2.176051819294428,2.172555880597247,2.1822663445749457,2.1735765736386465,2.191715249898273,2.175102478773705,2.1954718878026416,2.176092575637825,2.197199051253367,2.18467406006685,2.188458102652929,2.191076950874979,2.17546868593948,2.180272284002408,2.179729063157045,2.177396471766803,2.193621410622152,2.1691696305807477,2.189151550066995,2.1941478184314973,2.189864655162969,2.1926280478030606,2.1826142476669235,2.1823980083818864,2.1902299569720034,2.205641918953196,2.190321072203863,2.182560263233411,2.188925496804226,2.190942523367496,2.187007171780708,2.167727573629275,2.1962528584206784,2.1910558917179506,2.186558388772147,2.198601699156774,2.1955524555580093,2.2024904653819526,2.1814960882419845,2.18412818285338,2.191419429221204,2.190894572830338,2.1986181930804767,2.1943141697966,2.190496509153312,2.1861644524041246,2.199447708351503,2.197083376171016,2.186819313926061,2.1909571235942598,2.198248532125223,2.1929155792490644,2.191114373337908,2.186543936468276,2.1848914628739755,2.182015982958697,2.1863043918311966,2.190206898749136,2.1905524932795823,2.1883105834388776,2.191302105975254,2.187672722085381,2.191549645568804,2.1879239357860234,2.1890093864399844,2.1885288125967097,2.1908224042612856,2.1973128960795,2.187989198967551,2.196101999565808,2.192948777576928,2.188512927211672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A12-18,A12,18,anthropogenic environmental material,fermentation,fermentation mash,USA
SRR1930812,1.996113198891775,2.004688288454593,2.015175154929777,1.952964155936159,1.9876839666629464,1.9381821431082973,2.0128581030113724,1.9656605590246452,1.9567829243970825,1.987761300571721,2.002089875207648,1.9995500954786585,1.9707666802506647,1.9816851002922755,1.9618982648551384,1.968959567765289,1.9615926261046333,1.9737194547326025,1.9788279634508048,1.9722343231824728,1.9999559268206009,1.987198378016085,2.0016628831151544,1.9861438543920515,1.9870371673927651,1.9832649240744071,1.9836254818282144,1.9992129325250785,1.968860477972039,1.9843827152916889,1.970241855786126,1.9874167875749655,1.9714607973315617,1.9876736898105136,1.9951813666801663,1.9949301753184416,2.0070191530927493,1.9846108833052012,2.0127667845292017,1.9510507508747188,1.9881349960008745,2.005661797930561,1.9885708559770396,1.9888689780117648,1.974029542720766,1.997037610742081,1.9737246381864384,1.9830193943655117,1.986988003040806,1.995464870052692,2.007479502267956,1.9960812352806256,1.982007897629293,1.9884104878978863,1.9839147872142409,1.9787133485467068,1.990686513042808,1.9928391891528687,1.9879134200559545,1.9877751928856175,1.9877666194650676,1.9874789849712124,1.985307012224736,1.990856676878972,1.9897019653093824,1.9957163836682823,1.9867919598703965,1.994195518655967,1.983392929777392,1.985321159256604,1.9868831425427635,1.985482190302964,1.9921539907320036,1.991388052423973,1.980945271831387,1.9907979510703373,1.9912449046746312,1.9908975083297809,1.9917926769707717,1.9917978754066965,1.990930531854588,1.9927491653735736,1.991646559474065,1.9935796775983812,1.9875599121646856,1.9910786947819783,1.9930691848947224,1.994608972077249,1.9952260569561973,1.991398938700644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A12-39,A12,39,anthropogenic environmental material,fermentation,fermentation mash,USA
SRR1930813,2.013831928852553,2.0209085251422354,2.0681981157932228,2.0396731528583434,2.0487623149124468,2.006464397972874,2.045203529750841,2.044707278716784,2.028863605439833,2.0016818727346264,2.044542342607984,2.039073217444812,2.0251907957853077,2.0276428596042906,2.0320729167277243,2.050477106576099,2.039212477690577,2.018861350992416,2.0598412572143965,2.0106676991877084,2.01763331049877,2.0232299268063594,2.023343948868553,2.042639244902194,2.0429334104411643,2.036379467569885,2.0533291900805657,2.0338971762727613,2.011642035723616,2.0468321200645896,2.018024682513605,2.0181825338470345,2.017886480477107,2.0426184804755225,2.0230254044100286,2.0364860219994023,2.0347718430641044,2.0378981062480963,2.0360784401408094,2.017756153753233,2.036862482815057,2.0398501723413096,2.0292681238186,2.0348189908828798,2.028230090877115,2.036546265098164,2.04248357790002,2.035621615886718,2.025765618995014,2.0240036111996367,2.0308276337896007,2.041285592775191,2.047166323440221,2.0280328099914744,2.0497030235270244,2.043984311789769,2.03511258073652,2.021662680875807,2.042413024667016,2.0283241475244007,2.034471930692386,2.035937341151433,2.036460555894346,2.03291705653242,2.034055775841197,2.0411659512285443,2.025747554028786,2.0299712086963604,2.030521015218636,2.0473985572369484,2.0333932723386434,2.023627731224018,2.039949896690976,2.04347978228906,2.041173845791842,2.032605905311091,2.0340543911037896,2.0308194523565404,2.039521693381507,2.039435235244752,2.035418996452081,2.0419322661277386,2.033474176609617,2.039348821697294,2.040207272726742,2.0388335628729664,2.033844813531786,2.030543360395288,2.03629848731618,2.03720878672798,2.044056392360383,2.0352081328698177,2.038954210105623,2.041729730018999,2.035445583982757,2.033038499255593,2.039347203199166,2.035417697952971,2.0377804446291874,2.03238014946811,2.0367773304367094,2.035580734417873,2.0375668801751226,2.040550942299712,2.03486706109917,2.038157445127419,2.038809943771229,2.0337855936589238,2.03493130110606,2.038983309547235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A12-DR,A12,DR,anthropogenic environmental material,fermentation,fermentation mash,USA
