sample-id,depth-2000_iter-1,depth-2000_iter-2,depth-2000_iter-3,depth-2000_iter-4,depth-2000_iter-5,depth-2000_iter-6,depth-2000_iter-7,depth-2000_iter-8,depth-2000_iter-9,depth-2000_iter-10,depth-6142_iter-1,depth-6142_iter-2,depth-6142_iter-3,depth-6142_iter-4,depth-6142_iter-5,depth-6142_iter-6,depth-6142_iter-7,depth-6142_iter-8,depth-6142_iter-9,depth-6142_iter-10,depth-10285_iter-1,depth-10285_iter-2,depth-10285_iter-3,depth-10285_iter-4,depth-10285_iter-5,depth-10285_iter-6,depth-10285_iter-7,depth-10285_iter-8,depth-10285_iter-9,depth-10285_iter-10,depth-14428_iter-1,depth-14428_iter-2,depth-14428_iter-3,depth-14428_iter-4,depth-14428_iter-5,depth-14428_iter-6,depth-14428_iter-7,depth-14428_iter-8,depth-14428_iter-9,depth-14428_iter-10,depth-18571_iter-1,depth-18571_iter-2,depth-18571_iter-3,depth-18571_iter-4,depth-18571_iter-5,depth-18571_iter-6,depth-18571_iter-7,depth-18571_iter-8,depth-18571_iter-9,depth-18571_iter-10,depth-22714_iter-1,depth-22714_iter-2,depth-22714_iter-3,depth-22714_iter-4,depth-22714_iter-5,depth-22714_iter-6,depth-22714_iter-7,depth-22714_iter-8,depth-22714_iter-9,depth-22714_iter-10,depth-26857_iter-1,depth-26857_iter-2,depth-26857_iter-3,depth-26857_iter-4,depth-26857_iter-5,depth-26857_iter-6,depth-26857_iter-7,depth-26857_iter-8,depth-26857_iter-9,depth-26857_iter-10,depth-31000_iter-1,depth-31000_iter-2,depth-31000_iter-3,depth-31000_iter-4,depth-31000_iter-5,depth-31000_iter-6,depth-31000_iter-7,depth-31000_iter-8,depth-31000_iter-9,depth-31000_iter-10,depth-35142_iter-1,depth-35142_iter-2,depth-35142_iter-3,depth-35142_iter-4,depth-35142_iter-5,depth-35142_iter-6,depth-35142_iter-7,depth-35142_iter-8,depth-35142_iter-9,depth-35142_iter-10,depth-39285_iter-1,depth-39285_iter-2,depth-39285_iter-3,depth-39285_iter-4,depth-39285_iter-5,depth-39285_iter-6,depth-39285_iter-7,depth-39285_iter-8,depth-39285_iter-9,depth-39285_iter-10,depth-43428_iter-1,depth-43428_iter-2,depth-43428_iter-3,depth-43428_iter-4,depth-43428_iter-5,depth-43428_iter-6,depth-43428_iter-7,depth-43428_iter-8,depth-43428_iter-9,depth-43428_iter-10,depth-47571_iter-1,depth-47571_iter-2,depth-47571_iter-3,depth-47571_iter-4,depth-47571_iter-5,depth-47571_iter-6,depth-47571_iter-7,depth-47571_iter-8,depth-47571_iter-9,depth-47571_iter-10,depth-51714_iter-1,depth-51714_iter-2,depth-51714_iter-3,depth-51714_iter-4,depth-51714_iter-5,depth-51714_iter-6,depth-51714_iter-7,depth-51714_iter-8,depth-51714_iter-9,depth-51714_iter-10,depth-55857_iter-1,depth-55857_iter-2,depth-55857_iter-3,depth-55857_iter-4,depth-55857_iter-5,depth-55857_iter-6,depth-55857_iter-7,depth-55857_iter-8,depth-55857_iter-9,depth-55857_iter-10,depth-60000_iter-1,depth-60000_iter-2,depth-60000_iter-3,depth-60000_iter-4,depth-60000_iter-5,depth-60000_iter-6,depth-60000_iter-7,depth-60000_iter-8,depth-60000_iter-9,depth-60000_iter-10,alias,compartment,env_biome,cultivar,collection_date,geo_loc_name
SRR1523634,8.328223663624664,8.37655609193326,8.264383516372286,8.334578272125174,8.355475427050692,8.300602706432345,8.348696549130274,8.376290562526737,8.329381745818216,8.248700067309764,8.51234716190739,8.52975697565516,8.56233336311148,8.550556396424145,8.550359950971291,8.544955480039182,8.553896316006377,8.559286711136767,8.566918213716587,8.536612033168176,8.5815540253575,8.597215653550778,8.589738955496966,8.59562193218838,8.590521115833722,8.569535440689732,8.599507337092563,8.59827880719204,8.589810957405662,8.57244974320553,8.590740202530903,8.604320340310732,8.594860135422262,8.602725427921806,8.603628011363446,8.589895609760847,8.603679524742223,8.593439425743497,8.591344326399154,8.589736465774347,8.608813348890594,8.608833522255317,8.590160418625889,8.605655880864905,8.597078147316305,8.592527118954873,8.601547684459625,8.605984603455488,8.609607615595772,8.60264055257483,8.606189420332235,8.61441899970175,8.612176050054604,8.617491231281521,8.610139206525787,8.602446403675552,8.61636302191313,8.617632269037808,8.611617749160224,8.609838202438405,8.609011155594407,8.610362041780101,8.617201026998993,8.613824095280169,8.61001232660827,8.620518647347293,8.616259306050921,8.62000891066931,8.615763628014793,8.61418876099997,8.616480755765497,8.618189331886885,8.617649654116448,8.619116414619555,8.614286464085126,8.619270078115733,8.62087381789213,8.617620900754886,8.618989608987343,8.617265947498394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FieldRun1,Rhizosphere,Rice Paddy,,2013-07-08,"USA: California, Central Valley"
SRR1523635,9.176254408005375,9.179961216931748,9.198336502884356,9.201145613459202,9.214199709028268,9.105977667981158,9.156444547267094,9.191392143394404,9.150243176793913,9.0754952753393,9.52424532075954,9.578143108520182,9.579359517097028,9.583475108466745,9.53507713896439,9.538603426205905,9.548478651215362,9.56454456173655,9.540635304758949,9.560769816139388,9.634289578201011,9.629575572925711,9.597016467691816,9.608575062934609,9.624307064533747,9.642851038612989,9.624676163100425,9.6337940481194,9.6277097845893,9.630642159101754,9.658202329347649,9.65841990725364,9.687995888114733,9.695895575561078,9.6788011359205,9.65092530708142,9.68092680399354,9.683832713667073,9.666761552490682,9.655875800029529,9.705296247634545,9.690403122610109,9.68733011980822,9.69582487978692,9.69811620396373,9.699757339649873,9.682666692715625,9.699801584435088,9.69656195575842,9.705780894115229,9.709951543310568,9.694696613337705,9.690189525812206,9.711478524130795,9.70053123605969,9.69758640472584,9.702544086575315,9.71248740625836,9.706010587952058,9.700550051166111,9.704990383950545,9.696303185351743,9.72729184500376,9.712879115169278,9.699965811773843,9.711142335869251,9.720870132725643,9.710079483880406,9.698155946341888,9.71293584490896,9.720796361359437,9.714699488571656,9.724341876717176,9.725058640471806,9.704374871858771,9.719951565842228,9.720662942348584,9.726039059443742,9.716673738561855,9.734751741936586,9.736904591134216,9.717122188557664,9.73568943558925,9.725264069961794,9.734225988569252,9.714854163333364,9.721874809337152,9.72133265780812,9.726958310479487,9.718335896190824,9.722073858820456,9.719984104166548,9.737802355888023,9.727353122364775,9.738315525586763,9.721017037298612,9.729004421690547,9.732935332641942,9.72581210532839,9.72607756141308,9.725065330440742,9.730433187121967,9.731426497864518,9.74066734985568,9.728988778174722,9.732683682229403,9.731960273858697,9.730333570241074,9.72853042797885,9.73281365788913,9.730729644866887,9.734780740757722,9.731793085108974,9.741747523020583,9.73620136831856,9.73877250683708,9.736898871336942,9.742461841058072,9.73525674354506,9.733506967280576,9.74124406395372,9.732632778171531,9.737955115021489,9.73697666840938,9.738054538203905,9.739637885108005,9.74437577807142,9.73179874689931,9.73688039719296,9.731476397945544,9.739896420356803,9.743846218170336,9.734770439226288,9.742536920830824,9.739213361888988,9.735953007942816,9.737721267723987,9.735605432511178,9.741298453582363,9.741808491457912,9.73574820413955,9.744687515624284,9.74014909564493,9.74270415165174,9.739538846612282,9.742446314922,9.74438291284447,9.745766479305608,9.741626831649246,9.742518549566444,FieldRun1,Rhizosphere,Rice Paddy,,2013-07-08,"USA: California, Central Valley"
SRR1523636,8.253796811567787,8.19493821186101,8.183484943209393,8.20116405224823,8.18647534034551,8.220666805654503,8.253950487758404,8.220488893411469,8.189302967275736,8.193708113860922,8.520441349676775,8.446856681555673,8.487252801151497,8.436854411550918,8.53328057103075,8.479855905582493,8.478121355122473,8.457327512680552,8.438735722637666,8.529001191155098,8.512493292304638,8.550556549363375,8.608109191232499,8.553282318053474,8.522604206743244,8.55326226915741,8.573239778409476,8.55931308250546,8.586597683801514,8.549909958054466,8.547687909199551,8.554833478101594,8.566988533166795,8.543849129807827,8.573563967776504,8.552022686363719,8.57859957937879,8.591756724224757,8.565046269671047,8.616670283698502,8.606186708761777,8.570605560884504,8.58700001930577,8.587490347831274,8.626340204860682,8.584147761706689,8.593058667493525,8.582554088122237,8.582444726225871,8.597254062517594,8.588528082807153,8.58483122080347,8.58424271504787,8.58113906210171,8.599525526324118,8.579476314321514,8.613070042984514,8.584370073841008,8.602631369818194,8.567503586051481,8.615680634208596,8.596676628002633,8.636442270046025,8.610954263223443,8.602518011457025,8.594509680788162,8.596528067637328,8.589719049667341,8.59554144411925,8.60563106888844,8.606728921732941,8.62217833546358,8.605294763315184,8.598407591557686,8.585619613547944,8.615189894120393,8.617877608227394,8.609938416012119,8.615903672711065,8.598950573688514,8.612956228223402,8.61339532122098,8.617017140698662,8.612904032132244,8.612189343320267,8.61786126767626,8.609370408058076,8.598687143548567,8.629128737283983,8.613691535898738,8.621279179147464,8.607664337326792,8.626912586126396,8.617318467452439,8.612627927809806,8.635280597079317,8.619935366387503,8.625414024119713,8.627579191134073,8.621599813035473,8.62182448028123,8.61534602232726,8.617044444958042,8.623370498681105,8.622143497647576,8.635360957498271,8.616642875818435,8.61188579600285,8.608164044075101,8.623554243429997,8.623579682744486,8.617646383403452,8.624537161336033,8.610519540944097,8.621427705692556,8.615141353374298,8.61576416894339,8.62995311542064,8.625561382703667,8.630027445278424,8.627203307947712,8.632862596434432,8.621971345417382,8.626112605347823,8.629793999520222,8.627776645166803,8.622570511370482,8.629250832035313,8.621682932058823,8.622729924241463,8.626025546360646,8.62682946018849,8.625438378791522,8.624368608450808,8.632145688736884,8.622968258838277,8.620752349298192,8.62070310626873,8.622697927111327,8.6329780084519,8.625409286687354,8.62601410097361,8.6241995889678,8.626998317934264,8.623897624096312,8.627971351361234,8.62781311142318,8.62380536023591,8.62461948173913,8.623885437672673,FieldRun1,Rhizoplane,Rice Paddy,,2013-07-08,"USA: California, Central Valley"
SRR1523640,6.248686690545026,6.272519127940682,6.184269106781129,6.05754622217824,6.212349104458356,6.101046332058145,6.196754814354262,6.248084206689088,6.13128891947182,6.081513146256085,6.314757295406621,6.299705881142326,6.272315184895756,6.259601235962042,6.279747724515005,6.275994759307505,6.228239395627854,6.246780542288638,6.27096971534688,6.245155911372056,6.281906531252516,6.329077664284951,6.310904796700918,6.302488621567617,6.313571689459631,6.294613313279958,6.333249733178676,6.261575914451695,6.312671797877819,6.246727803873801,6.315075344568324,6.302152614002675,6.284199591327598,6.322681145685736,6.299993258318789,6.294690723056714,6.298796850048024,6.2804404191065855,6.296115671140711,6.2925918533968455,6.298654812587489,6.309265747607575,6.294608671676393,6.320628731210607,6.300045642922266,6.31748623301452,6.321049368984045,6.32446838409364,6.282635768620424,6.302517986801131,6.301142313397853,6.297405162686302,6.309878050923195,6.301447525101562,6.300162903789288,6.309458680051161,6.301958745407272,6.308167134628252,6.3109878855354165,6.321328335133688,6.297900561544178,6.304532880949977,6.3095478336201065,6.3082519010061615,6.303824348149592,6.306918091853092,6.305807207679052,6.304593933015887,6.31443166254842,6.302404102533033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FieldRun1,Endosphere,Rice Paddy,,2013-07-08,"USA: California, Central Valley"
SRR1523641,9.033133112515769,8.946070201306654,8.98662289097597,8.95194866980402,9.032880905738796,8.959410270129476,9.004354670883338,8.961210260045522,9.011153746682956,8.96098244677939,9.328701725143382,9.321333381859825,9.325638730648194,9.31267826787524,9.35147047835315,9.312782880683525,9.28544873244044,9.293160299641032,9.280243604208495,9.307683120375874,9.401430572542344,9.389115476836732,9.384153008982931,9.433629528926392,9.440429336916182,9.390355512608997,9.39029267575874,9.391521805614758,9.397666058905052,9.367873473854653,9.43603503266979,9.436767143890284,9.426535519533063,9.428497914108132,9.46172790876394,9.424872272857405,9.425183644416109,9.441679695517736,9.438356688605708,9.44384538285969,9.45766186767415,9.47046730471346,9.439366220309516,9.448766839552174,9.434216049750844,9.462960343182615,9.463515047641808,9.459063941584114,9.45752376644623,9.447805897516869,9.47045862534602,9.46935142479822,9.459866927683938,9.45516142625018,9.473330342941043,9.493261674375525,9.469441847143983,9.475825293859524,9.475149627104514,9.475295307571074,9.47912776649228,9.48041532619328,9.473175750373551,9.4704068662962,9.478383323341449,9.463977345801762,9.480273339560313,9.486473714832718,9.4833407381906,9.47924492543463,9.481601047047777,9.481533383080144,9.488995404383711,9.478627833036215,9.491445617576298,9.482188354646604,9.483524539191947,9.477993939606987,9.486325235366024,9.488491109968052,9.493103613072504,9.49035538615376,9.500039761209669,9.487397476687,9.487083954752164,9.507485259648176,9.486467389342412,9.500162935880168,9.496223043800436,9.498181934252951,9.49900135293678,9.489289151747029,9.507348838320247,9.501108397977534,9.50170329086398,9.492217244728549,9.491407000880882,9.500915581901896,9.489145158373006,9.492687672778358,9.497597778979149,9.493146686737768,9.48995323277308,9.505208023001185,9.4903465675525,9.496824275094545,9.4940924335105,9.490972086390858,9.48580550567748,9.50660367064544,9.503268852816785,9.501788213986885,9.499815750696076,9.50386196675075,9.502107941556236,9.493274701929291,9.510205024051643,9.504002651353284,9.496089203498569,9.50490549345564,9.500319067607265,9.49529910421614,9.502672256322755,9.502881412574114,9.5026566666614,9.500227295669502,9.503896005611296,9.504922154843596,9.502811377079643,9.495651589283264,9.503782414202918,9.505768239599906,9.502955813343952,9.50051876141936,9.512659735967082,9.507309754064275,9.502497983107236,9.509810805755558,9.50463695808326,9.49908363692148,9.508333540393636,9.50629751451601,9.503163038597776,9.50501043210631,9.50265516847947,9.502881352132423,9.507273131468228,9.504108262812826,9.500201082909278,9.504128888033405,FieldRun1,Rhizosphere,Rice Paddy,,2013-07-08,"USA: California, Central Valley"
SRR1523649,6.961351652109464,6.862377388641345,6.966429459850566,6.852719110851685,6.997933228764295,7.0364014668292665,6.921387749025267,7.029876549940082,7.085660504138333,6.872502055976772,7.230532018177594,7.196217188264262,7.195780330465608,7.170527117924944,7.258239403010662,7.194359467994134,7.148321850127132,7.201340908852049,7.240117297030723,7.143979236548382,7.233701132707291,7.273214895801838,7.242406100592637,7.268690670753856,7.226433314689072,7.218538749407784,7.264030143633784,7.25236919917266,7.205320906336983,7.24088756284979,7.278303436042305,7.262026221950375,7.286139172483847,7.249255290023727,7.249947344681768,7.279373729661137,7.251030459197379,7.297100517234388,7.262529634540535,7.299578110682908,7.272188245154735,7.245426552546967,7.279220575738629,7.256945100570904,7.278562881606911,7.2814032117071825,7.263829582598483,7.261170799125395,7.284877001715218,7.302699446199347,7.278715149740203,7.275435422099916,7.284780684868752,7.26212154559781,7.300912327105185,7.287506619795102,7.283642773220889,7.285395719774007,7.30249057487207,7.307171038064334,7.275473183526238,7.286685727222809,7.270777650737664,7.266626607529629,7.271967680204035,7.290498076920691,7.266669150534361,7.289660779595929,7.286345852183813,7.276802948002202,7.277326267993762,7.312045671967246,7.278610140530612,7.306590892694572,7.28756851937791,7.29043586826301,7.288255537455853,7.30416982276712,7.290483074291171,7.285796915918289,7.297964930957229,7.286096851269581,7.294186063885271,7.299158866993045,7.289951626972915,7.290324250617273,7.294218876756114,7.288345568867212,7.266074207530555,7.2864785711002416,7.284949929005307,7.286214529824235,7.290980808305437,7.296741395793044,7.296829248254513,7.276646618959355,7.285360385244277,7.275308534958524,7.284885884769685,7.2945096822345725,7.295998481109156,7.297276181844856,7.296492978722496,7.299321176787044,7.280077876274228,7.293806698445159,7.300626406469263,7.295277280160941,7.290215880960755,7.29841193936814,7.291365281385808,7.291167771066751,7.2950445346019475,7.295959275718922,7.294283985442597,7.292383255864031,7.294048194433368,7.294140438520589,7.293495841762092,7.295746041583037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FieldRun1,Rhizoplane,Rice Paddy,,2013-07-08,"USA: California, Central Valley"
SRR1524309,5.7414055266991095,5.688600928877777,5.671229857181004,5.600197805844419,5.854298897299628,5.680994966088834,5.696315784293085,5.743139045772706,5.667075674647776,5.684849645965129,5.862564560358617,5.706044518130272,5.796704225782655,5.8383342169051575,5.837455598010153,5.797651345047112,5.717067688324067,5.80374043199498,5.771316232369023,5.832773008854493,5.878805090193323,5.786032911166445,5.801530404390688,5.8541390842679055,5.83524608923358,5.779409145872096,5.808041220999198,5.837159955043694,5.833558214451052,5.785506878419188,5.7958499186265655,5.7953317544896175,5.848376047507916,5.83813560024641,5.816985308185272,5.827977291758226,5.835242439815088,5.853603763635385,5.839471974678475,5.824748419358034,5.836398468064038,5.812658571304063,5.851404010606056,5.855085067129467,5.826734154599111,5.844923014086518,5.841855792897772,5.810724050267654,5.78637812690154,5.885472099738139,5.805722257035091,5.864937510014464,5.844449386784862,5.846012466805938,5.845886977700958,5.824276162712162,5.823766389629344,5.825898871094583,5.839890512861532,5.811064929008307,5.832573943045763,5.849153560348948,5.855295347760857,5.81802362876689,5.828010346998134,5.829063494309326,5.8450381924515655,5.841033112845551,5.846421278979478,5.831073506988034,5.85651200108204,5.852212576356243,5.849892436708257,5.8439914518638,5.81758932647701,5.840311149228403,5.849141657115803,5.843092667495061,5.839316962438228,5.843240734934083,5.838308409652974,5.835091957838531,5.845562077568229,5.845799017380664,5.837486119293919,5.866936825102707,5.837801590250212,5.849724714038508,5.847640476304222,5.8384724449464045,5.851847293759021,5.842818711592445,5.841097652350962,5.850164792325868,5.84972914330963,5.839005619053868,5.837042568177191,5.826256799629142,5.847121770089194,5.838662748145587,5.837264881717808,5.840482608423769,5.843207175348025,5.845527543031893,5.838206598876014,5.84406330143943,5.841004724886028,5.840988155742745,5.840943169069071,5.843832458786146,5.8418138350834745,5.842484267772778,5.8435466857243,5.843285227020596,5.84233001451579,5.842477811979541,5.844187255503834,5.843782599843234,5.842360392798779,5.842468415045289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FieldRun1,Endosphere,Rice Paddy,,2013-07-08,"USA: California, Central Valley"
SRR1524310,9.145220544094006,9.077661242382748,9.120970631386664,9.11458459942913,9.146209919576588,9.085118702603308,9.137193694532366,9.066088785321243,9.14652439484507,9.160145475575325,9.43903873014488,9.455937856100755,9.465486792198082,9.470571005001707,9.471229106307876,9.51845678947546,9.468921456574018,9.43261590143261,9.44267443041421,9.470613321052308,9.521548554335489,9.544365773513674,9.54137697364179,9.55783019651436,9.515911021387796,9.531949096688368,9.538601149270166,9.548495968081877,9.519961195918528,9.528255602114314,9.572057750494723,9.565419320224269,9.563743150256016,9.544991353842276,9.558042142121224,9.56999128495338,9.581706384435812,9.556927746105936,9.576768192416072,9.549676629765496,9.593874104562708,9.589135761715127,9.590478591511692,9.586824169462636,9.581516322859638,9.591375193457326,9.59518878429171,9.580332518879295,9.579919793374096,9.562361505552545,9.58417268849658,9.580049157036283,9.600063205738556,9.584239057016925,9.597665735830477,9.595236661244936,9.60126438177459,9.610987712347308,9.591467897436011,9.58059875020026,9.598415772763843,9.601408760640888,9.605397933372355,9.6000152107627,9.603833700880964,9.592832431771482,9.598151229020043,9.601429535406211,9.606598252895036,9.595613135486248,9.600801256804449,9.607321794887731,9.61185242521922,9.603583319437076,9.603472766210178,9.600709192612742,9.602692168420305,9.599375090722402,9.606832901598276,9.606083286334764,9.612270278546196,9.606831047808909,9.601825532743517,9.611300747359154,9.60761973610412,9.60386880634974,9.605095380312184,9.613561501260554,9.6142590024455,9.601052176635813,9.613685083792468,9.61107756806591,9.607999217356838,9.615439701292686,9.615700960091903,9.618723382605776,9.612278885451172,9.621247040138549,9.61788794880359,9.61367127384474,9.61645438146066,9.611255792054491,9.617133533384902,9.61746877876394,9.616496144509831,9.615887899203882,9.618843099630244,9.61244921652928,9.617996680949288,9.612754626808591,9.6172171613447,9.614368867044584,9.62057929172797,9.618234068439678,9.618421550767998,9.620389094143448,9.617839494833314,9.620801432519146,9.619079328090008,9.618133370606186,9.621542197702006,9.620634267243922,9.620698418678131,9.620151202385893,9.62181605317626,9.620700519519714,9.620694322126097,9.620394001971295,9.620355756945608,9.620927634448847,,,,,,,,,,,,,,,,,,,,,FieldRun1,Rhizosphere,Rice Paddy,,2013-07-08,"USA: California, Central Valley"
SRR1524311,8.505781570596403,8.458021819780623,8.487288110294974,8.40054250736722,8.398876564382865,8.405730645193678,8.451108170675578,8.429751411182252,8.367219932515589,8.335016197899545,8.716201911973318,8.771037622333418,8.773218803104408,8.748018637742902,8.736950409509388,8.692435522934064,8.760631420502358,8.715163407498622,8.72220560637988,8.724987472390296,8.815031061653963,8.794986534031194,8.814601187033265,8.803385236878276,8.83313053287183,8.807120466995613,8.7968494722999,8.808161495351895,8.834698517781543,8.847649226915923,8.836243083955347,8.861940263452597,8.833951084577729,8.824661814959146,8.82699997437122,8.853546152825341,8.817235589785247,8.846394103797437,8.82589850197135,8.85213106105852,8.841237812925694,8.862823859903543,8.871629253151266,8.85497745979109,8.85261274969224,8.840968747302293,8.838310052178125,8.840393929257843,8.852652667495976,8.857603410960632,8.863289331427884,8.862211980307151,8.8834587286953,8.87159437015365,8.884182836425445,8.872490162041279,8.854591300718814,8.867094705223586,8.855643381500283,8.857638811403287,8.882338139490741,8.8674025177817,8.887049403298244,8.868434481619785,8.857947620585714,8.86945412952921,8.88072910332849,8.876737318816701,8.885734856338184,8.869215110722559,8.86931688876685,8.894070130730974,8.88424031555814,8.866730793525731,8.879773664021792,8.877479654757128,8.860448171034951,8.88657101917043,8.875361172633037,8.888226253415061,8.874869574874719,8.876211056573228,8.89284269048074,8.879601604999516,8.887591972108032,8.871725353852344,8.87979340094014,8.867753437078546,8.883908156341482,8.884011667836102,8.876810547327263,8.880588003087476,8.875613497986013,8.876535457566785,8.873346646229,8.890758140121989,8.872589197081426,8.896504745874639,8.884988173016191,8.89027961908274,8.898569773771898,8.885951106580828,8.89386778893559,8.883924414993999,8.885996513274796,8.8862193213114,8.88568892416312,8.88649668618455,8.88818541811546,8.89696901863099,8.892450301734435,8.899937318963495,8.891817331294925,8.894393049527947,8.892316916425026,8.890759461526113,8.884203654458428,8.892403417764756,8.888684746997797,8.884988957722312,8.89028594080903,8.89320684722279,8.897734496338796,8.892339765742461,8.892562180998139,8.894311283325631,8.896002756287011,8.89514515364305,8.892313216840654,8.888974881625773,8.889736046438069,8.888867681625658,8.89443158104417,8.89583887470847,8.889404735631569,8.884332651517779,8.890595791910677,8.894271346861117,8.891116229596168,8.898448022912813,8.895987121684813,8.892751128525855,8.895371822578547,8.892403695964834,8.894300696877108,8.893552940996775,8.896528118152055,8.898064133958863,8.894623537072905,8.892033268862138,FieldRun1,Rhizoplane,Rice Paddy,,2013-07-08,"USA: California, Central Valley"
SRR1524312,6.652840747734227,6.830229304288809,6.776930822628727,6.731096984981043,6.729852071592775,6.910897521605143,6.692266093077155,6.711730329684739,6.689867143199261,6.731719488951684,6.947198222784141,6.934759100450659,6.9559943861970455,6.896350256825209,6.947219201178878,6.908531369832045,6.920270307407008,6.878760864821873,6.951317893421217,6.931935086094729,7.0055419909132,6.98358893711125,6.931108401181403,6.937628765693144,6.973771861525378,6.979604154791557,6.890952832021784,6.978087136805801,6.993885924153675,6.966955021921858,6.977595711003121,6.958900515753814,6.948491015629076,6.9648734678987125,6.959010622539948,6.995709498205287,6.973797534582777,7.001407201152255,6.9621923046889,6.907952787183579,6.972472545525487,6.9775594899016,6.981309312365344,6.976521805048478,6.955569626603436,6.988489719552254,6.984782794450579,6.969252956201611,6.972158663754772,6.981786018568635,6.9861619531328,6.983098148280625,6.994176302971367,6.983783720410886,6.984316573360296,6.98672048508926,6.976347668234548,6.998069633896583,6.976656655713868,6.961831533036619,6.973209211009452,6.987370950644796,6.989833606022467,6.98256818696705,6.980105137600402,6.997771086832613,6.982067332257286,6.968896850247442,7.006876008732911,6.975509651371019,6.985570022449815,6.990264688860143,6.986818515403373,6.96227068585234,6.98170539825936,6.994668077197424,6.978461632643678,6.993113165564644,6.978485737170991,6.974892033494302,6.979786971523402,6.994482263649041,6.974708130459467,6.976331474833642,6.988180684803695,6.984788988874699,6.997009850322674,6.978027514959976,6.988073577231984,6.969787483430313,6.976486737698073,6.989058248360912,7.003518312807156,6.97491998897902,6.993220505150515,6.994585385363518,6.989860698019208,6.98331326022188,6.996385115916592,6.988726860645373,6.9798705988368885,6.9960775915987785,6.9839315289158135,6.982678968263638,6.98583794926196,6.984937751583356,6.989720533690778,6.991444632870403,6.988224169878033,6.990709735871035,6.991393890759261,6.994765587423911,6.991210597918986,6.995232516885087,6.989695899955389,6.993605324981804,6.993291404528396,6.985990570126385,6.989942962227609,6.987847462500178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FieldRun1,Endosphere,Rice Paddy,,2013-07-08,"USA: California, Central Valley"
