,mean,sd,min,max,n_iterations,cv_percent,range,range_percent
SRR1523634,8.607818065986917,0.00783893189276081,8.59294282592231,8.63028177271958,100,0.09106758336047671,0.03733894679727001,0.4337794608463181
SRR1523635,9.6954986338524,0.011451119033014505,9.663227889495866,9.731620725623634,100,0.11810758234787691,0.06839283612776725,0.7054081353688161
SRR1523636,8.59613600663609,0.015221083737405104,8.558387511578381,8.637018554061983,100,0.17706890311710577,0.07863104248360209,0.9147254350431412
SRR1523640,6.30211959467537,0.01180943209701465,6.275481977898971,6.347114395033561,100,0.18738825754738742,0.07163241713459012,1.1366400789206221
SRR1523641,9.466186172542223,0.010334348598629426,9.442493938856364,9.490977978495527,100,0.10917119535009155,0.04848403963916326,0.5121813447932904
SRR1523649,7.275552414266909,0.016829612168689563,7.236525593047805,7.32114248996597,100,0.2313173104998561,0.0846168969181651,1.1630305453127736
SRR1524309,5.833313524053014,0.016987927043645542,5.803075356432739,5.870286205788408,100,0.2912225954184998,0.06721084935566868,1.1521899016490762
SRR1524310,9.586749343279294,0.008020660947024732,9.56798302482333,9.60919184763518,100,0.08366403104768297,0.0412088228118499,0.4298518855167417
SRR1524311,8.858314396995885,0.01365023445064915,8.817142443623514,8.88583723566305,100,0.15409516798453604,0.06869479203953688,0.7754837880086227
SRR1524312,6.974954561736853,0.013841157342247593,6.939279719631548,7.00513296392194,100,0.19844082452059683,0.06585324429039208,0.944138685170069
SRR1524331,8.380867495987443,0.012263884977858961,8.353682449567156,8.406898477251149,100,0.14633192785508914,0.053216027683992806,0.634970397867182
SRR1524333,9.347882848119028,0.0069261563374309245,9.332667643006644,9.3635041673684,100,0.07409331556636484,0.030836524361756545,0.3298770947686988
SRR1524334,9.567587774806373,0.009345615675542061,9.544611001880918,9.591863353717828,100,0.09767995753486773,0.04725235183691012,0.49387947044851027
SRR1524335,8.046924896481283,0.015003318777868237,8.01281425519229,8.077089312530354,100,0.1864478539426758,0.06427505733806527,0.798753041253947
SRR1524336,6.4661626578220135,0.015976001878684632,6.432613040005568,6.5145528965464585,100,0.2470708320236689,0.08193985654089087,1.267209949347153
SRR1524338,5.646819634439572,0.017216411789758346,5.604975056979761,5.699561691687272,100,0.30488687268770925,0.09458663470751105,1.6750426050556593
SRR1524339,9.840577977186612,0.011617660989116827,9.814607386231142,9.870419142937644,100,0.11805872598184804,0.05581175670650218,0.5671593359240732
SRR1524340,9.110468938352343,0.012004885458906326,9.07857195616596,9.139169665764348,100,0.1317702254421763,0.06059770959838673,0.6651436935730997
SRR1524341,6.3002315896369305,0.016351555450947925,6.254417623906422,6.337497689501427,100,0.25953895850184505,0.0830800655950048,1.3186827248011137
SRR1524342,9.628798961073299,0.01103027583407179,9.596546136817336,9.654421492150195,100,0.1145550538407157,0.05787535533285926,0.6010651543025677
SRR1524343,8.605932838912361,0.010826754036665285,8.572341459075705,8.631944183789354,100,0.12580569985058815,0.059602724713649025,0.6925771537996543
SRR1524344,6.983394282434581,0.016493298143499608,6.95051838530784,7.023293572091973,100,0.23617881901621118,0.07277518678413308,1.0421176843356164
SRR1524345,9.43250620579361,0.01017265560812923,9.405761305791366,9.464149494053716,100,0.1078467947562124,0.05838818826235048,0.619010334989098
SRR1524346,9.320806148702541,0.01064887209838581,9.293789708719675,9.350771492250278,100,0.11424840221430993,0.05698178353060257,0.6113396483257454
SRR1524347,6.606533628359298,0.012920059164084586,6.570573067438851,6.6421368380794,100,0.1955648739699706,0.07156377064054897,1.083227221206494
SRR1524348,9.670715160560697,0.00824490770211219,9.650621035062022,9.692020079524864,100,0.08525644241634514,0.04139904446284248,0.42808669033782415
SRR1524349,9.697045700174762,0.010535139147596646,9.665474042114212,9.727010935762031,100,0.10864277093596433,0.06153689364781911,0.6345942419010162
SRR1524350,7.644369911730686,0.008953258250448421,7.6233607856038335,7.66164791670794,100,0.11712225276682617,0.03828713110410664,0.5008539820313122
